iter	Passed	Remaining
0	39	6988
1	153	13684
2	293	17309
3	334	14704
4	366	12817
5	440	12787
6	535	13234
7	652	14025
8	729	13865
9	799	13589
10	876	13459
11	978	13695
12	1068	13727
13	1105	13111
14	1193	13127
15	1271	13032
16	1343	12884
17	1394	12546
18	1452	12311
19	1488	11905
20	1667	12621
21	1710	12285
22	1756	11989
23	1830	11899
24	1892	11733
25	1969	11664
26	2079	11782
27	2146	11652
28	2249	11713
1902929	2384	11923030	2433	11693131	2526	11684
	2592	11546
33	2533	10878

34	2620	10858
5	2701	10805
	10381
7	27937	2825	10557
38	2890	10449
5	10133
9453
41	2837	9323
42	2898	9234
